"","title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Bless the Child 2000","Bless the Child","2000","107","40000000","5.0","3814","R","0","0","0","0","0","0","0"
"Blessed 2004","Blessed","2004","98",NA,"4.6","187","R","0","0","0","1","0","0","0"
"Blind Horizon 2003","Blind Horizon","2003","99","5100000","5.5","801","R","0","0","0","1","0","0","0"
"Blood Dolls 1999","Blood Dolls","1999","84",NA,"3.4","241","R","0","0","0","0","0","0","0"
"Blood Feast 2: All U Can Eat 2002","Blood Feast 2: All U Can Eat","2002","99",NA,"4.9","145","R","0","0","1","0","0","0","0"
"Blood Work 2002","Blood Work","2002","110","50000000","6.3","5965","R","0","0","0","1","0","0","0"
"Bloody Mallory 2002","Bloody Mallory","2002","94",NA,"4.1","167","R","1","0","1","0","0","0","0"
"Bloody Sunday 2002","Bloody Sunday","2002","107","5000000","7.6","2388","R","0","0","0","1","0","0","0"
"Blow 2001","Blow","2001","124","30000000","7.1","18670","R","0","0","0","1","0","0","0"
"Blow Dry 2001","Blow Dry","2001","87",NA,"6.1","1611","R","0","0","1","1","0","1","0"
"Blowback 2000","Blowback","2000","91",NA,"4.3","201","R","0","0","0","0","0","0","0"
"Blue Car 2002","Blue Car","2002","96",NA,"7.0","819","R","0","0","0","1","0","0","0"
"Blue Collar Comedy Tour: The Movie 2003","Blue Collar Comedy Tour: The Movie","2003","105",NA,"7.6","804","PG-13","0","0","1","0","1","0","0"
"Blue Crush 2002","Blue Crush","2002","104","30000000","5.7","4791","PG-13","0","0","0","1","0","1","0"
"Blueberry 2004","Blueberry","2004","124",NA,"5.2","1256","R","1","0","0","0","0","0","0"
"Boat Trip 2002","Boat Trip","2002","97","20000000","4.5","2991","R","0","0","1","0","0","0","0"
"Bobby Jones, Stroke of Genius 2004","Bobby Jones, Stroke of Genius","2004","120",NA,"6.2","490","PG","0","0","0","1","0","0","0"
"Body Shots 1999","Body Shots","1999","106",NA,"4.9","1805","R","0","0","0","1","0","0","0"
"Body, The 2001","Body, The","2001","109",NA,"5.3","1646","PG-13","0","0","0","1","0","0","0"
"Boiler Room 2000","Boiler Room","2000","118","9000000","6.8","8586","R","0","0","0","1","0","0","0"
"Boksuneun naui geot 2002","Boksuneun naui geot","2002","121",NA,"7.6","1325","R","1","0","0","1","0","0","0"
"Bollywood/Hollywood 2002","Bollywood/Hollywood","2002","105",NA,"6.1","593","PG-13","0","0","1","1","0","1","0"
"Bom yeoreum gaeul gyeoul geurigo bom 2003","Bom yeoreum gaeul gyeoul geurigo bom","2003","103",NA,"8.2","2829","R","0","0","0","1","0","0","0"
"Bon voyage 2003","Bon voyage","2003","115","20000000","7.2","1061","PG-13","0","0","1","1","0","0","0"
"Bone Collector, The 1999","Bone Collector, The","1999","118","48000000","6.2","17766","R","0","0","0","1","0","0","0"
"Bone Snatcher, The 2003","Bone Snatcher, The","2003","96","6000000","4.1","400","R","0","0","0","0","0","0","0"
"Bones 2001","Bones","2001","96","16000000","4.2","1418","R","0","0","0","0","0","0","0"
"Boogeyman 2005","Boogeyman","2005","89","20000000","4.1","2055","PG-13","0","0","0","1","0","0","0"
"Book of Love 2004","Book of Love","2004","83",NA,"2.9","134","R","0","0","1","1","0","0","0"
"Book of Mormon Movie, Volume 1: The Journey, The 2003","Book of Mormon Movie, Volume 1: The Journey, The","2003","120","2000000","3.4","142","PG-13","0","0","0","0","0","0","0"
"Book of Shadows: Blair Witch 2 2000","Book of Shadows: Blair Witch 2","2000","90","15000000","4.2","6532","R","0","0","0","0","0","0","0"
"Bookies 2003","Bookies","2003","88",NA,"5.5","208","R","0","0","1","1","0","0","0"
"Boondock Saints, The 1999","Boondock Saints, The","1999","110",NA,"7.7","17935","R","1","0","0","1","0","0","0"
"Bootmen 2000","Bootmen","2000","95",NA,"6.0","465","R","0","0","1","1","0","0","0"
"Bor lei jun 1999","Bor lei jun","1999","99",NA,"5.3","1421","PG-13","1","0","1","0","0","1","0"
"Born Into Brothels: Calcutta's Red Light Kids 2004","Born Into Brothels: Calcutta's Red Light Kids","2004","85",NA,"7.8","366","R","0","0","0","0","1","0","0"
"Born Romantic 2000","Born Romantic","2000","96",NA,"6.2","406","R","0","0","1","0","0","0","0"
"Bossa Nova 2000","Bossa Nova","2000","95",NA,"6.6","630","R","0","0","1","1","0","1","0"
"Bounce 2000","Bounce","2000","106","35000000","5.8","5390","PG-13","0","0","0","1","0","1","0"
"Bourne Identity, The 2002","Bourne Identity, The","2002","119","75000000","7.3","29871","PG-13","1","0","0","1","0","0","0"
"Bourne Supremacy, The 2004","Bourne Supremacy, The","2004","108","75000000","7.3","19878","PG-13","1","0","0","1","0","0","0"
"Bowfinger 1999","Bowfinger","1999","97","55000000","6.4","15000","PG-13","0","0","1","0","0","0","0"
"Bowling for Columbine 2002","Bowling for Columbine","2002","120","4000000","8.5","36747","R","0","0","1","1","1","0","0"
"Boys Don't Cry 1999","Boys Don't Cry","1999","118","2000000","7.6","14456","R","0","0","0","1","0","0","0"
"Boys and Girls 2000","Boys and Girls","2000","94","16000000","4.9","3483","PG-13","0","0","1","1","0","1","0"
"Bravo Two Zero 1999","Bravo Two Zero","1999","115","6500000","6.5","578","R","0","0","0","0","0","0","0"
"Bread and Roses 2000","Bread and Roses","2000","110",NA,"7.0","1172","R","0","0","0","1","0","0","0"
"Bread, My Sweet, The 2001","Bread, My Sweet, The","2001","105","600000","6.8","257","PG-13","0","0","0","1","0","1","0"
"Breakfast of Champions 1999","Breakfast of Champions","1999","110","12000000","4.2","2250","R","0","0","1","0","0","0","0"
"Breakin' All the Rules 2004","Breakin' All the Rules","2004","85",NA,"5.0","575","PG-13","0","0","1","0","0","1","0"
"Breed, The 2001","Breed, The","2001","91","4000000","4.7","582","R","1","0","0","0","0","0","0"
"Briar Patch 2003","Briar Patch","2003","103",NA,"2.5","265","R","0","0","0","1","0","1","0"
"Bride & Prejudice 2004","Bride & Prejudice","2004","122","7000000","6.3","1503","PG-13","0","0","1","0","0","1","0"
"Bride of the Wind 2001","Bride of the Wind","2001","99","12000000","5.2","201","R","0","0","0","1","0","0","0"
"Bridge of Dragons 1999","Bridge of Dragons","1999","95","4000000","3.7","373","R","1","0","0","0","0","1","0"
"Bridget Jones's Diary 2001","Bridget Jones's Diary","2001","97","26000000","7.0","24791","R","0","0","1","0","0","1","0"
"Bridget Jones: The Edge of Reason 2004","Bridget Jones: The Edge of Reason","2004","108","70000000","5.7","6636","R","0","0","1","1","0","1","0"
"Brigham City 2001","Brigham City","2001","119","1000000","7.1","405","PG-13","0","0","0","1","0","0","0"
"Bright Young Things 2003","Bright Young Things","2003","105",NA,"6.8","621","R","0","0","1","1","0","0","0"
"Bring It On 2000","Bring It On","2000","98","10000000","6.1","11784","PG-13","0","0","1","0","0","0","0"
"Bringing Down the House 2003","Bringing Down the House","2003","105","35000000","5.6","6501","PG-13","0","0","1","0","0","0","0"
"Bringing Out the Dead 1999","Bringing Out the Dead","1999","121","32000000","6.7","13989","R","0","0","0","1","0","0","0"
"Brokedown Palace 1999","Brokedown Palace","1999","100",NA,"6.1","4321","PG-13","0","0","0","1","0","0","0"
"Brother 2000","Brother","2000","114","12000000","7.1","4322","R","0","0","0","0","0","0","0"
"Brown Sugar 2002","Brown Sugar","2002","109","8000000","5.9","941","PG-13","0","0","1","1","0","1","0"
"Bruce Almighty 2003","Bruce Almighty","2003","101","81000000","6.4","23905","PG-13","0","0","1","0","0","1","0"
"Bruno 2000","Bruno","2000","108","10000000","6.0","295","PG-13","0","0","1","1","0","0","0"
"Bubba Ho-tep 2002","Bubba Ho-tep","2002","92","1000000","7.5","7142","R","0","0","1","0","0","0","0"
"Bubble Boy 2001","Bubble Boy","2001","84","13000000","5.1","2904","PG-13","0","0","1","1","0","1","0"
"Buddy Boy 1999","Buddy Boy","1999","105",NA,"5.6","106","R","0","0","0","1","0","0","0"
"Buffalo Soldiers 2001","Buffalo Soldiers","2001","98","15000000","7.0","3753","R","0","0","1","1","0","0","0"
"Bulletproof Monk 2003","Bulletproof Monk","2003","104","52000000","5.2","5405","PG-13","1","0","1","0","0","0","0"
"Bully 2001","Bully","2001","113",NA,"7.0","4913","R","0","0","0","1","0","0","0"
"Bumblebee Flies Anyway, The 1999","Bumblebee Flies Anyway, The","1999","96",NA,"6.1","604","PG-13","0","0","0","1","0","1","0"
"Bunker, The 2001","Bunker, The","2001","92",NA,"5.4","927","R","0","0","0","0","0","0","0"
"Bush's Brain 2004","Bush's Brain","2004","80",NA,"6.8","264","PG-13","0","0","0","0","1","0","0"
"Business of Strangers, The 2001","Business of Strangers, The","2001","84",NA,"6.4","1458","R","0","0","0","1","0","0","0"
"But I'm a Cheerleader 1999","But I'm a Cheerleader","1999","85","1200000","6.2","3897","R","0","0","1","1","0","1","0"
"Butterfly Effect, The 2004","Butterfly Effect, The","2004","120","13000000","7.6","22975","R","0","0","0","1","0","0","0"
"Buying the Cow 2002","Buying the Cow","2002","88",NA,"5.6","936","R","0","0","1","0","0","0","0"
"CQ 2001","CQ","2001","91","7000000","6.4","1315","R","0","0","1","1","0","0","0"
"Cabin Fever 2002","Cabin Fever","2002","93","1500000","5.1","7776","R","0","0","0","0","0","0","0"
"Cachorro 2004","Cachorro","2004","100",NA,"7.4","210","R","0","0","1","1","0","0","0"
"Calcium Kid, The 2004","Calcium Kid, The","2004","89",NA,"5.4","423","R","0","0","1","0","0","0","0"
"Calendar Girls 2003","Calendar Girls","2003","108",NA,"7.1","3618","PG-13","0","0","1","1","0","0","0"
"Camp 2003","Camp","2003","114",NA,"6.6","1332","PG-13","0","0","1","1","0","0","0"
"Can't Be Heaven 2000","Can't Be Heaven","2000","94","2000000","5.7","104","PG","0","0","1","1","0","1","0"
"Captain Corelli's Mandolin 2001","Captain Corelli's Mandolin","2001","131","57000000","5.9","5281","R","0","0","0","1","0","1","0"
"Captured 2000","Captured","2000","95",NA,"2.7","201","R","1","0","0","0","0","0","0"
"Carandiru 2003","Carandiru","2003","147","6000000","7.7","1608","R","0","0","0","1","0","0","0"
"Carman: The Champion 2001","Carman: The Champion","2001","82",NA,"4.6","412","PG-13","1","0","0","1","0","0","0"
"Casa de los babys 2003","Casa de los babys","2003","95",NA,"6.7","572","R","0","0","0","1","0","0","0"
"Cast Away 2000","Cast Away","2000","143","90000000","7.3","34580","PG-13","0","0","0","1","0","0","0"
"Cat in the Hat, The 2003","Cat in the Hat, The","2003","82","109000000","3.2","4997","PG","0","0","1","0","0","0","0"
"Cat's Meow, The 2001","Cat's Meow, The","2001","114",NA,"6.5","2195","PG-13","0","0","0","1","0","0","0"
"Catch Me If You Can 2002","Catch Me If You Can","2002","141","52000000","7.6","39915","PG-13","0","0","0","1","0","0","0"
"Catch That Kid 2004","Catch That Kid","2004","91","18000000","4.5","598","PG","1","0","1","0","0","0","0"
"Catfish in Black Bean Sauce 1999","Catfish in Black Bean Sauce","1999","119",NA,"6.7","181","PG-13","0","0","1","1","0","0","0"
"Cats & Dogs 2001","Cats & Dogs","2001","87","60000000","5.4","6487","PG","0","0","1","0","0","0","0"
"Catwoman 2004","Catwoman","2004","104","85000000","3.4","8815","PG-13","1","0","0","0","0","0","0"
"Cavedweller 2004","Cavedweller","2004","101",NA,"4.8","110","R","0","0","0","1","0","0","0"
"Caveman's Valentine, The 2001","Caveman's Valentine, The","2001","105",NA,"6.0","1505","R","0","0","0","1","0","0","0"
"Cecil B. DeMented 2000","Cecil B. DeMented","2000","87","10000000","6.0","3464","R","0","0","1","0","0","0","0"
"Cell, The 2000","Cell, The","2000","109","33000000","6.1","16118","R","0","0","0","0","0","0","0"
"Cellular 2004","Cellular","2004","94","25000000","6.4","6182","PG-13","1","0","0","0","0","0","0"
"Celsius 41.11: The Temperature at Which the Brain... Begins to Die 2004","Celsius 41.11: The Temperature at Which the Brain... Begins to Die","2004","72",NA,"3.8","584","R","0","0","0","0","1","0","0"
"Century Hotel 2001","Century Hotel","2001","95",NA,"6.7","166","R","0","0","0","1","0","1","0"
"Chain of Command 2000","Chain of Command","2000","96",NA,"4.6","299","R","1","0","0","0","0","0","0"
"Chain of Fools 2000","Chain of Fools","2000","96","20000000","6.1","845","R","0","0","1","0","0","0","0"
"Chakushin ari 2003","Chakushin ari","2003","111",NA,"6.4","691","R","0","0","0","0","0","0","0"
"Changing Lanes 2002","Changing Lanes","2002","99","45000000","6.6","12779","R","0","0","0","1","0","0","0"
"Chaos Factor, The 2000","Chaos Factor, The","2000","95",NA,"4.5","109","R","1","0","0","1","0","0","0"
"Charlie 2004","Charlie","2004","94","5000000","5.0","141","R","0","0","0","1","0","0","0"
"Charlie's Angels 2000","Charlie's Angels","2000","94","92000000","5.8","25705","PG-13","1","0","1","0","0","0","0"
"Charlie's Angels: Full Throttle 2003","Charlie's Angels: Full Throttle","2003","107","120000000","5.0","13990","PG-13","1","0","1","0","0","0","0"
"Charlotte Gray 2001","Charlotte Gray","2001","121",NA,"6.3","1832","PG-13","0","0","0","1","0","1","0"
"Charlotte Sometimes 2002","Charlotte Sometimes","2002","85","80000","4.6","555","R","0","0","0","1","0","0","0"
"Charly 2002","Charly","2002","103","950000","5.5","149","PG","0","0","1","1","0","1","0"
"Chasing Holden 2001","Chasing Holden","2001","101",NA,"5.0","136","R","0","0","0","1","0","0","0"
"Chasing Liberty 2004","Chasing Liberty","2004","111","23000000","5.7","1911","PG-13","0","0","1","0","0","1","0"
"Chasing Papi 2003","Chasing Papi","2003","81",NA,"4.2","598","PG","0","0","1","0","0","0","0"
"Chasing Sleep 2000","Chasing Sleep","2000","104",NA,"6.4","496","R","0","0","0","0","0","0","0"
"Cheaper by the Dozen 2003","Cheaper by the Dozen","2003","98","40000000","5.8","5977","PG","0","0","1","1","0","0","0"
"Cheats 2002","Cheats","2002","90",NA,"5.9","783","PG-13","0","0","1","0","0","1","0"
"Cheerleader Ninjas 2002","Cheerleader Ninjas","2002","96",NA,"3.1","151","R","1","0","1","0","0","0","0"
"Chek law dak gung 2002","Chek law dak gung","2002","90",NA,"5.4","651","R","1","0","0","0","0","1","0"
"Chelsea Walls 2001","Chelsea Walls","2001","109",NA,"4.3","600","R","0","0","0","1","0","0","0"
"Cherish 2002","Cherish","2002","99","1500000","6.5","743","R","0","0","1","1","0","0","0"
"Cherry 1999","Cherry","1999","90",NA,"5.2","139","R","0","0","1","0","0","1","0"
"Cherry Falls 2000","Cherry Falls","2000","92","14000000","4.9","2165","R","0","0","1","0","0","0","0"
"Chicago 2002","Chicago","2002","113","45000000","7.5","34933","PG-13","0","0","1","1","0","0","0"
"Chik yeung tin sai 2002","Chik yeung tin sai","2002","106",NA,"6.8","1059","R","1","0","1","0","0","1","0"
"Children On Their Birthdays 2002","Children On Their Birthdays","2002","102","10000000","6.0","163","PG","0","0","0","1","0","0","0"
"Children of the Living Dead 2001","Children of the Living Dead","2001","90",NA,"2.1","385","R","0","0","0","0","0","0","0"
"Chill Factor 1999","Chill Factor","1999","101","34000000","5.0","2542","R","1","0","1","0","0","0","0"
"Chin gei bin 2003","Chin gei bin","2003","102",NA,"5.8","562","R","1","0","1","0","0","0","0"
"Chocolat 2000","Chocolat","2000","121",NA,"7.3","20031","PG-13","0","0","1","1","0","1","0"
"Choristes, Les 2004","Choristes, Les","2004","96",NA,"7.7","2374","PG-13","0","0","0","1","0","1","0"
"Christina's House 1999","Christina's House","1999","96",NA,"4.0","481","R","0","0","0","0","0","0","0"
"Christmas with the Kranks 2004","Christmas with the Kranks","2004","98","60000000","4.5","1520","PG","0","0","1","0","0","0","0"
"Chronicles of Riddick, The 2004","Chronicles of Riddick, The","2004","135","110000000","6.2","11438","PG-13","1","0","0","0","0","0","0"
"Chrystal 2004","Chrystal","2004","106",NA,"3.8","169","R","0","0","0","1","0","0","0"
"Chuck&Buck 2000","Chuck&Buck","2000","96","250000","6.6","1919","R","0","0","1","1","0","0","0"
"Chuen jik sat sau 2001","Chuen jik sat sau","2001","102",NA,"6.8","1234","R","1","0","0","0","0","0","0"
"Chump Change 2004","Chump Change","2004","87",NA,"5.0","139","R","0","0","1","0","0","1","0"
"Chunhyang 2000","Chunhyang","2000","120",NA,"7.5","507","R","0","0","0","1","0","1","0"
"Cidade de Deus 2002","Cidade de Deus","2002","135","3300000","8.7","25964","R","0","0","0","1","0","0","0"
"Cider House Rules, The 1999","Cider House Rules, The","1999","126","24000000","7.5","18950","PG-13","0","0","0","1","0","1","0"
"Cinderella Story, A 2004","Cinderella Story, A","2004","95","20000000","4.9","2755","PG","0","0","1","0","0","1","0"
"Circus 2000","Circus","2000","95",NA,"5.6","728","R","0","0","0","1","0","0","0"
"Citizen Toxie: The Toxic Avenger IV 2000","Citizen Toxie: The Toxic Avenger IV","2000","99",NA,"6.5","531","R","1","0","1","0","0","0","0"
"City by the Sea 2002","City by the Sea","2002","108","60000000","6.3","4886","R","0","0","0","1","0","0","0"
"City of Ghosts 2002","City of Ghosts","2002","116","17500000","5.6","877","R","0","0","0","0","0","0","0"
"Civil Brand 2002","Civil Brand","2002","95","500000","4.1","102","R","0","0","0","1","0","0","0"
"Claim, The 2000","Claim, The","2000","115",NA,"6.5","1710","R","0","0","0","0","0","1","0"
"Clockstoppers 2002","Clockstoppers","2002","94","26000000","5.1","2555","PG","0","0","0","0","0","0","0"
"Closer You Get, The 2000","Closer You Get, The","2000","90",NA,"6.2","441","PG-13","0","0","1","0","0","0","0"
"Club Dread 2004","Club Dread","2004","119","9000000","5.2","3432","R","0","0","1","0","0","0","0"
"Coach Carter 2005","Coach Carter","2005","136","30000000","6.6","1636","PG-13","0","0","0","1","0","0","0"
"Cockettes, The 2002","Cockettes, The","2002","100","300000","6.6","177","R","0","0","0","0","1","0","0"
"Code 46 2003","Code 46","2003","92","7500000","6.4","2094","R","0","0","0","1","0","1","0"
"Code Conspiracy, The 2001","Code Conspiracy, The","2001","97",NA,"6.1","123","PG-13","1","0","0","0","0","0","0"
"Coffee and Cigarettes 2003","Coffee and Cigarettes","2003","95",NA,"6.8","3729","R","0","0","1","1","0","0","0"
"Cold Creek Manor 2003","Cold Creek Manor","2003","118",NA,"4.8","3498","R","0","0","0","1","0","0","0"
